,hour,platform_os,no,date_2020-07-03,date_2020-07-04,date_2020-07-05,date_2020-07-06,date_2020-07-07,date_2020-07-08,date_2020-07-09,date_2020-07-10,auction_id,experiment,device_make,browser
5746,3,6,0,1,0,0,0,0,0,0,0,5746,1,269,6
2350,11,6,0,1,0,0,0,0,0,0,0,2350,1,46,2
1628,18,6,0,0,0,0,0,0,0,1,0,1628,1,46,2
2810,18,6,0,0,0,0,0,0,1,0,0,2810,1,46,6
868,6,6,0,1,0,0,0,0,0,0,0,868,1,46,2
7485,2,6,0,0,0,0,1,0,0,0,0,7485,1,77,2
8073,15,6,0,1,0,0,0,0,0,0,0,8073,0,46,2
2623,17,6,0,0,0,0,0,0,0,1,0,2623,1,46,3
4718,15,6,0,1,0,0,0,0,0,0,0,4718,0,46,2
1452,21,6,0,0,0,0,0,0,1,0,0,1452,0,93,6
7893,17,6,0,0,0,0,0,0,1,0,0,7893,1,46,3
114,0,6,0,0,0,0,0,0,0,0,1,114,0,177,6
960,3,6,0,1,0,0,0,0,0,0,0,960,1,46,2
1855,17,6,0,0,0,0,0,0,1,0,0,1855,0,46,2
2487,5,6,1,0,0,0,0,0,0,0,1,2487,0,114,14
2497,15,6,0,1,0,0,0,0,0,0,0,2497,0,46,2
4892,15,6,0,1,0,0,0,0,0,0,0,4892,0,46,2
1219,7,5,0,0,0,1,0,0,0,0,0,1219,1,267,9
1527,14,6,0,0,0,0,0,0,1,0,0,1527,1,46,2
5697,10,6,0,0,0,0,0,0,1,0,0,5697,1,46,3
2065,22,6,0,0,0,0,0,0,1,0,0,2065,1,46,2
4383,12,6,0,0,0,0,0,0,0,1,0,4383,0,171,6
1284,18,6,0,0,0,0,0,0,1,0,0,1284,1,46,3
4121,16,6,0,0,0,1,0,0,0,0,0,4121,0,46,2
2439,4,6,0,0,0,0,0,1,0,0,0,2439,1,46,3
7027,7,6,0,0,0,0,0,1,0,0,0,7027,0,46,3
4797,15,6,0,1,0,0,0,0,0,0,0,4797,0,46,2
7476,22,6,0,0,0,0,0,0,1,0,0,7476,0,46,2
3492,5,6,0,0,0,0,0,0,1,0,0,3492,1,46,2
